Date,Open,High,Low,btc_price,Adj Close,Volume,day_gap,usdvnd_rate,fx_observed,usdvnd_rate_used,btc_vnd_price,btc_return,btc_usd_return,fx_filled
2025-05-27,109440.40625,110744.2109375,107609.5546875,108994.640625,108994.640625,57450176272.0,1.0,25897.0,True,25897.0,2822634208.265625,-0.5971419843188603,-0.408109657520394,False
2025-05-28,108992.171875,109298.2890625,106812.9296875,107802.328125,107802.328125,49155377493.0,1.0,25903.0,True,25903.0,2792403705.421875,-1.0767797261095855,-1.0999457493792042,False
2025-05-29,107795.5703125,108910.046875,105374.3984375,105641.7578125,105641.7578125,56022752042.0,1.0,25950.0,True,25950.0,2741403615.234375,-1.8432710510889196,-2.0245528009254556,False
2025-05-30,105646.2109375,106308.9453125,103685.7890625,103998.5703125,103998.5703125,57655287183.0,1.0,25996.0,True,25996.0,2703546833.84375,-1.390550446740697,-1.5676574887611796,False
2025-05-31,103994.71875,104927.1015625,103136.1171875,104638.09375,104638.09375,38997843858.0,1.0,,False,25996.0,2720171885.125,0.6130518270315466,0.6130518270315466,True
2025-06-01,104637.296875,105884.546875,103826.953125,105652.1015625,105652.1015625,37397056873.0,1.0,,False,25996.0,2746532032.21875,0.9643965283822334,0.9643965283822334,True
2025-06-02,105649.8125,105958.3125,103727.546875,105881.53125,105881.53125,45819706290.0,1.0,26019.0,True,26019.0,2754931561.59375,0.3053564113759743,0.21692037754339633,False
2025-06-03,105888.4765625,106813.578125,104920.84375,105432.46875,105432.46875,46196508367.0,1.0,26022.0,True,26022.0,2743563701.8125,-0.4134904345074419,-0.42501980559301383,False
2025-06-04,105434.3671875,105997.6953125,104232.703125,104731.984375,104731.984375,44544857105.0,1.0,26038.0,True,26038.0,2727011409.15625,-0.6051408794109318,-0.6666084188030525,False
2025-06-05,104750.78125,105936.6875,100436.8828125,101575.953125,101575.953125,57479298400.0,1.0,26071.0,True,26071.0,2648186673.921875,-2.933115584628534,-3.0597731847037197,False
2025-06-06,101574.3671875,105376.7734375,101169.5703125,104390.34375,104390.34375,48856653697.0,1.0,26056.0,True,26056.0,2719994796.75,2.6754835562434023,2.733035306445883,False
2025-06-07,104390.6484375,105972.7578125,103987.3125,105615.625,105615.625,38365033776.0,1.0,,False,26056.0,2751920725.0,1.1669145986995246,1.1669145986995246,True
2025-06-08,105617.5078125,106497.0625,105075.328125,105793.6484375,105793.6484375,36626232328.0,1.0,,False,26056.0,2756559303.6875,0.16841596083658347,0.16841596083658347,True
2025-06-09,105793.0234375,110561.421875,105400.234375,110294.1015625,110294.1015625,55903193732.0,1.0,26047.0,True,26047.0,2872830463.3984375,4.13144950107343,4.165996456486783,False
2025-06-10,110295.6875,110380.125,108367.7109375,110257.234375,110257.234375,54700101509.0,1.0,26025.0,True,26025.0,2869444524.609375,-0.11793023456908915,-0.03343184269246601,False
2025-06-11,110261.796875,110384.21875,108086.328125,108686.625,108686.625,50842662052.0,1.0,25990.0,True,25990.0,2824765383.75,-1.569315445735992,-1.434738860972619,False
2025-06-12,108685.9140625,108780.6953125,105785.6875,105929.0546875,105929.0546875,54843867968.0,1.0,26010.0,True,26010.0,2755214712.421875,-2.4929936038170633,-2.569916684533185,False
2025-06-13,105924.59375,106182.546875,102822.0234375,106090.96875,106090.96875,69550440846.0,1.0,26020.0,True,26020.0,2760487006.875,0.1911740818189742,0.15273471943905204,False
2025-06-14,106108.0859375,106203.7578125,104379.3671875,105472.40625,105472.40625,38007870453.0,1.0,,False,26020.0,2744392010.625,-0.5847555254663668,-0.5847555254663668,True
2025-06-15,105464.84375,106157.1015625,104519.8828125,105552.0234375,105552.0234375,36744307742.0,1.0,,False,26020.0,2746463649.84375,0.07545779547483325,0.07545779547483325,True
2025-06-16,105555.59375,108915.375,104997.625,106796.7578125,106796.7578125,50366626945.0,1.0,26050.0,True,26050.0,2782055541.015625,1.2875919092006158,1.1723623976989297,False
2025-06-17,106794.1171875,107750.1953125,103396.53125,104601.1171875,104601.1171875,55964092176.0,1.0,26030.0,True,26030.0,2722767080.390625,-2.1541385554715595,-2.077333636181369,False
2025-06-18,104602.0703125,105581.8515625,103602.265625,104883.328125,104883.328125,47318089133.0,1.0,26072.0,True,26072.0,2734518130.875,0.4306562032648267,0.26943395038619067,False
2025-06-19,104886.7734375,105250.890625,103940.7734375,104684.2890625,104684.2890625,37333806920.0,1.0,26092.0,True,26092.0,2731422470.21875,-0.11327093406818427,-0.18995217392710328,False
2025-06-20,104681.03125,106539.3828125,102372.2109375,103309.6015625,103309.6015625,50951862476.0,1.0,26123.0,True,26123.0,2698756721.6171875,-1.2031331374222531,-1.321872977093919,False
2025-06-21,103315.078125,104015.78125,100973.0625,102257.40625,102257.40625,38360555118.0,1.0,,False,26123.0,2671270223.46875,-1.0237095073649534,-1.0237095073649534,True
2025-06-22,102212.03125,103351.6328125,98286.203125,100987.140625,100987.140625,65536997201.0,1.0,,False,26123.0,2638087074.546875,-1.2500036871865046,-1.2500036871865046,True
2025-06-23,100987.4765625,106116.859375,99705.75,105577.7734375,105577.7734375,65237759656.0,1.0,26119.0,True,26119.0,2757585864.4140625,4.430154862165514,4.44546821160779,False
2025-06-24,105571.515625,106316.828125,104740.2421875,106045.6328125,106045.6328125,48822986421.0,1.0,26190.0,True,26190.0,2777335123.359375,0.7136269082064364,0.4421629398587352,False
2025-06-25,106047.40625,108168.3984375,105881.390625,107361.2578125,107361.2578125,51624120283.0,1.0,26150.0,True,26150.0,2807496891.796875,1.0801421279864036,1.2329889288552447,False
2025-06-26,107375.0703125,108305.546875,106666.3515625,106960.0,106960.0,43891990613.0,1.0,26150.0,True,26150.0,2797004000.0,-0.374445620028651,-0.374445620028651,False
2025-06-27,106954.921875,107772.46875,106449.9921875,107088.4296875,107088.4296875,45353692675.0,1.0,26100.0,True,26100.0,2795008014.84375,-0.07138701546836458,0.12000060276006601,False
2025-06-28,107090.546875,107567.8828125,106883.9765625,107327.703125,107327.703125,30037708335.0,1.0,,False,26100.0,2801253051.5625,0.2231861322037002,0.2231861322037002,True
2025-06-29,107327.8203125,108526.3046875,107230.109375,108385.5703125,108385.5703125,35534874438.0,1.0,,False,26100.0,2828863385.15625,0.9808164803266641,0.9808164803266641,True
2025-06-30,108383.4375,108798.7890625,106759.6484375,107135.3359375,107135.3359375,42064804590.0,1.0,26090.0,True,26090.0,2795160914.609375,-1.1985323032215622,-1.1602107852204921,False
2025-07-01,107144.3828125,107550.6796875,105270.2265625,105698.28125,105698.28125,44110692247.0,1.0,26118.0,True,26118.0,2760627709.6875,-1.2431592344152556,-1.350422499373105,False
2025-07-02,105703.1015625,109763.65625,105157.3984375,108859.3203125,108859.3203125,56248657737.0,1.0,26110.0,True,26110.0,2842316853.359375,2.916142811417913,2.946777720135706,False
2025-07-03,108845.015625,110541.4609375,108605.796875,109647.9765625,109647.9765625,50494742270.0,1.0,26150.0,True,26150.0,2867294587.109375,0.8749419589137611,0.7218611789243166,False
2025-07-04,109635.65625,109751.984375,107296.3828125,108034.3359375,108034.3359375,42616442656.0,1.0,26175.0,True,26175.0,2827798743.1640625,-1.3870352901699807,-1.4825919147368483,False
2025-07-05,108015.8359375,108381.34375,107842.2734375,108231.1796875,108231.1796875,30615537520.0,1.0,,False,26175.0,2832951128.3203125,0.18203901235928527,0.18203901235928527,True
2025-07-06,108231.1875,109731.625,107847.015625,109232.0703125,109232.0703125,36746020463.0,1.0,,False,26175.0,2859149440.4296875,0.9205212306969758,0.9205212306969758,True
2025-07-07,109235.328125,109710.25,107527.0546875,108299.8515625,108299.8515625,45415696597.0,1.0,26158.0,True,26158.0,2832907517.171875,-0.922060667211967,-0.8570920982479693,False
2025-07-08,108298.2265625,109198.96875,107499.5546875,108950.2734375,108950.2734375,44282204127.0,1.0,26120.0,True,26120.0,2845781142.1875,0.45340210889584603,0.5987787747688724,False
2025-07-09,108950.2734375,111925.375,108357.6796875,111326.5546875,111326.5546875,57927418065.0,1.0,26110.0,True,26110.0,2906736342.890625,2.119332357768918,2.1576245274881947,False
2025-07-10,111329.1953125,116608.78125,110660.75,115987.203125,115987.203125,95911605728.0,1.0,26138.0,True,26138.0,3031673515.28125,4.208386218223316,4.101205071842649,False
2025-07-11,115986.234375,118856.4765625,115245.6875,117516.9921875,117516.9921875,86928361085.0,1.0,26100.0,True,26100.0,3067193496.09375,1.1648190511102723,1.3103070357299034,False
2025-07-12,117530.7109375,118219.8984375,116977.0234375,117435.2265625,117435.2265625,45524560304.0,1.0,,False,26100.0,3065059413.28125,-0.0696019205401959,-0.0696019205401959,True
2025-07-13,117432.203125,119449.5703125,117265.4375,119116.1171875,119116.1171875,49021091807.0,1.0,,False,26100.0,3108930658.59375,1.4211873752884077,1.4211873752884077,True
2025-07-14,119115.7890625,123091.609375,118959.1953125,119849.703125,119849.703125,181746419401.0,1.0,26108.0,True,26108.0,3129036049.1875,0.644615822924797,0.613969178492453,False
2025-07-15,119853.8515625,119935.5625,115765.6875,117777.1875,117777.1875,98321661181.0,1.0,26100.0,True,26100.0,3073984593.75,-1.7750352302115504,-1.7443885857792256,False
2025-07-16,117777.1875,120065.515625,117064.8203125,118738.5078125,118738.5078125,72162029070.0,1.0,26120.0,True,26120.0,3101449824.0625,0.8895054030532374,0.8129063950949824,False
2025-07-17,118738.5078125,120999.609375,117508.21875,119289.84375,119289.84375,72363841798.0,1.0,26140.0,True,26140.0,3118236515.625,0.5397935331831201,0.46325315439855774,False
2025-07-18,119284.109375,120851.9140625,116925.984375,118003.2265625,118003.2265625,77945799785.0,1.0,26135.0,True,26135.0,3084014326.2109375,-1.1035521649176472,-1.0844225617985717,False
2025-07-19,117998.125,118541.3984375,117388.4140625,117939.9765625,117939.9765625,47564562765.0,1.0,,False,26135.0,3082361287.4609375,-0.05361459934203851,-0.05361459934203851,True
2025-07-20,117944.109375,118865.03125,116550.1328125,117300.7890625,117300.7890625,57515447231.0,1.0,,False,26135.0,3065656122.1484375,-0.543433933607363,-0.543433933607363,True
